Date.Time,TSK,PSFC,"""U10""","""V10""","""Q2""",RAINC,RAINNC,SNOW,TSLB,SMOIS
01.05.2018.00.00,273.1,99533.55,1.8,1.3,0.0040875,0,0,0,278.9,0.288
01.05.2018.03.00,272.5,99636.95,-0.5,0.45,0.0039995,0,0,0,278.6,0.6412
01.05.2018.06.00,279.2,99705.95,2.2,3.4,0.00475,0,0,0,277.9,0.2869
01.05.2018.09.00,289.3,99893,2.3,3.3,0.00486,0,0,0,278,0.2852
01.05.2018.12.00,294.3,100008,2.3,3,0.00494,0,0,0,282.4,0.2822
01.05.2018.15.00,291.9,100081.025,1.2,2.8,0.00521,0,0,0,285.5,0.2796
01.05.2018.18.00,283.4,100105.6,0.6,2.4,0.00546,0,0,0,285.8,0.2787
01.05.2018.21.00,275.79,100107.9,-0.3,2.1,0.0044795,0,0,0,283,0.2787
02.05.2018.00.00,272.2,100111.9,-0.8,2.2,0.00366925,0,0,0,278.7,0.278
02.05.2018.03.00,272.2,100080.6,-0.4,2.7,0.00371,0,0,0,278.3,0.2776
02.05.2018.06.00,280.1,100048.35,-0.2975,3.5,0.00478,0,0,0,277.8,0.2774
02.05.2018.09.00,290.405,99960,0.7,5,0.00533,0,0,0,278.3,0.276
02.05.2018.12.00,294.705,99910.55,1.5,5.7,0.0058305,0,0,0,282.8,0.2736
02.05.2018.15.00,293,99890.8,1.4,4.4,0.00636,0,0,0,286.1,0.2714
02.05.2018.18.00,286,99905.8,1.2,2.3,0.00683,0,0,0,286.7,0.2707
02.05.2018.21.00,278,100064.95,-1.9,0.4,0.0059,0,0,0,284.4,0.2711
03.05.2018.00.00,275.2,100189.6,1.5,-1.4,0.00537,0,0,0,279.8,0.2704
03.05.2018.03.00,273.8,100351.9,0.995,2.9,0.00476,0,0,0,278.4,0.2706
03.05.2018.06.00,281.3,100514.2,0.4,-3.005,0.00575,0,0,0,278,0.2707
03.05.2018.09.00,291.7,100604.9,-0.3,-3.505,0.005721,0,0,0,280.9,0.2697
03.05.2018.12.00,296.3,100695.4,2.45,-3.305,0.00577,0,0,0,284.8,0.2674
03.05.2018.15.00,293.5,100720.05,-0.1,-3.41,0.0060805,0,0,0,287.5,0.2654
03.05.2018.18.00,285.4,100754.55,0.2,-3.3,0.006492,0,0,0,280.45,0.2648
03.05.2018.21.00,277.3,100865.7,-0.1,-2.5,0.00519,0,0,0,284.8,0.2652
04.05.2018.00.00,273.8,100975.4,-2.1,-2.405,0.00418,0,0,0,280,0.2647
04.05.2018.03.00,273.2,101005.75,-0.5,-2.705,0.00397,0,0,0,278.3,0.2651
04.05.2018.06.00,281.2,101014.55,-0.8,-3.005,0.00488,0,0,0,277.9,0.2653
04.05.2018.09.00,292.1,100998.3,-1.1,-4,0.006035,0,0,0,280.9,0.2643
04.05.2018.12.00,297.5,100983,-1.3,-4.4,0.0065915,0,0,0,285,0.2621
04.05.2018.15.00,295.1,100955.3,-0.5,-4.805,0.0073425,0,0,0,288,0.2601
04.05.2018.18.00,288.1,100931.4,0.2,-4.6,0.0082715,0,0,0,288.5,0.2596
04.05.2018.21.00,281.4,100989.65,-0.7,-3.2,0.0067005,0,0,0,286.5,0.2601
05.05.2018.00.00,278.6,101055.85,-1.6,-3,0.00578,0,0,0,282.1,0.2592
05.05.2018.03.00,277.8,101051.2,-1.8,-2.905,0.00556,0,0,0,281,0.2598
05.05.2018.06.00,284,101047.5,-2.6,-3.5,0.0065,0,0,0,280.7,0.2601
05.05.2018.09.00,295.3,101046.7,-2.6,-3.9,0.00801,0,0,0,283.5,0.2592
05.05.2018.12.00,300.9,100968.825,-2.5,-3.8,0.009241,0,0,0,287.7,0.2572
05.05.2018.15.00,299,100913.25,-1.7,-3.5,0.009932,0,0,0,290.9,0.2553
05.05.2018.18.00,286.45,100852.7,-0.9,-2.9,0.010735,0,0,0,291.8,0.2548
05.05.2018.21.00,284.105,100903.7,-1.3,-2,0.008174,0,0,0,289.3,0.2553
06.05.2018.00.00,280.8,100961.8,-1.8,-1.6,0.00723,0,0,0,284.2,0.2541
06.05.2018.03.00,280,100965.4,-2.3,-1.4,0.0068,0,0,0,282.9,0.2545
06.05.2018.06.00,287.505,100955.65,-3.3,-1.1,0.00769,0,0,0,282.6,0.2548
06.05.2018.09.00,298.7,100908.35,-3.2,-1.6,0.0092705,0,0,0,286,0.254
06.05.2018.12.00,304.1,100859.15,-3.3,-2.2,0.0104925,0,0,0,290.2,0.2519
06.05.2018.15.00,301.8,100733.9,-2.8,-2,0.0114205,0,0,0,293.3,0.2499
06.05.2018.18.00,294.5,100615.3,-2.1,-1.5,0.0127915,0,0,0,293.8,0.2494
06.05.2018.21.00,285.3,100631.75,-2.2,-1.1,0.00933,0,0,0,291.3,0.2499
07.05.2018.00.00,281.395,100670.6,-2.5,-0.8,0.00657,0,0,0,285.6,0.2494
07.05.2018.03.00,279.9,100627.95,-2.9,-0.1025,0.00657,0,0,0,284,0.2499
07.05.2018.06.00,287.9,100619.55,-3.505,0.3,0.00813,0,0,0,283.4,0.2503
07.05.2018.09.00,298.4,100537.85,-2.9,-0.5,0.0088505,0,0,0,286.3,0.2494
07.05.2018.12.00,303.5,100475.25,-2.8,-1.8,0.0091845,0,0,0,290.3,0.2473
07.05.2018.15.00,301,100361.925,-2.3,-2.3,0.0100435,0,0,0,293.1,0.2454
07.05.2018.18.00,293.5,100217.95,-1.7,-2,0.011231,0,0,0,293.5,0.2448
07.05.2018.21.00,284.5,100154.65,-1.3,-1.5,0.00889,0,0,0,290.9,0.2453
08.05.2018.00.00,281.295,100093.7,-1.45,-0.9,0.006975,0,0,0,285.8,0.2443
08.05.2018.03.00,280.095,100021.25,-1.5,-0.2,0.00696,0,0,0,284,0.2447
08.05.2018.06.00,289.6,99945.75,-2.2,0.39,0.0090905,0,0,0,283.7,0.2451
08.05.2018.09.00,300.8,99843.7,-1.5,0.19,0.00953,0,0,0,287.1,0.6197
08.05.2018.12.00,305.7,99752.75,-0.7,-0.6,0.0095715,0,0,0,291.4,0.2423
08.05.2018.15.00,302.5,99681.35,-0.8,3.45,0.0097145,0,0,0,294.4,0.2405
08.05.2018.18.00,294.3,99599.45,-0.9,-1.6,0.0106,0,0,0,294.7,0.2398
08.05.2018.21.00,284.6,99703.05,0.2,-1.705,0.00845,0,0,0,291.8,0.61775
09.05.2018.00.00,280.9,99783.9,1.1,-1.5,0.00698,0,0,0,286.1,0.2398
09.05.2018.03.00,280.6,99802.3,0.9,-2.4,0.00673,0,0,0,284.3,0.2403
09.05.2018.06.00,287,99775.55,0.9,-3.3,0.00823,0,0,0,283.7,0.2406
09.05.2018.09.00,297.8,99749.25,1.6,2.15,0.00958,0,0,0,286.3,0.24
09.05.2018.12.00,303,99715.65,2.3,-2.2,0.0104615,0,0,0,290.1,0.2384
09.05.2018.15.00,300.2,99651.8,1.8,-2.3,0.0106105,0,0,0,292.8,0.2367
09.05.2018.18.00,292.205,99598.85,1.3,-2.6,0.0108025,0,0,0,293.1,0.2362
09.05.2018.21.00,283.9,99680.85,1.2,-1.7,0.008011,0,0,0,290.5,0.2366
10.05.2018.00.00,279.8,99808.85,1.4,-1.7,0.00651,0,0,0,285.5,0.245
10.05.2018.03.00,277.8,99927.6,1.9,-1.5,0.00582,0,0,0,283.5,0.2447
10.05.2018.06.00,285.2,100068.6,2.9,-1.2,0.00668,0,0,0,282.6,0.2444
10.05.2018.09.00,294.3,100221.5,3.4,-1.5,0.00693,0,0,0,284.8,0.6206
